task,parcellation,seed,estimator,variant,input_set,target,is_leak_target,contains_subject_info,is_connectome_only,pearson,spearman,r2,n_eval,lift_over_bvdemo,lift_perm_p,residualized_pearson,config_hash,git_commit,balanced_acc
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC,sex,True,False,True,,,,,-0.0977316090735637,,,08a331f9,f8d84d1,0.9022683909264364
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC+bv,sex,True,True,False,,,,,-0.0714437142251431,,,42772b6d,f8d84d1,0.9285562857748568
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC+bv+demo,sex,True,True,False,,,,,-0.0103349586601653,,,46e1f015,f8d84d1,0.9896650413398348
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+pred_FC+bv+demo,sex,True,True,False,,,,,-0.0056179775280899,,,d042ccad,f8d84d1,0.99438202247191
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,everything,sex,True,True,False,,,,,-0.0094339622641509,,,a51ecbb3,f8d84d1,0.9905660377358492
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,bv+demo,age,True,True,False,0.9999999999999998,0.9964103953176142,0.9999999999999992,195.0,0.0,1.0,,8d06bb98,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC,age,True,False,True,0.4559877492400074,0.4507765358207927,0.1917497679981646,195.0,-0.5440122507599923,1.0,,c2f8e101,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC,age,True,False,True,0.3784038984385713,0.3810925179270781,0.1183401420955929,195.0,-0.6215961015614284,1.0,,75962704,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+obs_SC,age,True,False,True,0.4826532115702641,0.4827407950163956,0.216565499930899,195.0,-0.5173467884297356,1.0,,9729c36a,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC,age,True,False,True,0.4629681162250011,0.4625660922308278,0.1845592924836688,195.0,-0.5370318837749987,1.0,,561fe752,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC,age,True,False,True,0.305890067206905,0.3309221365574609,0.0654698570779463,195.0,-0.6941099327930949,1.0,,2bc4fb0f,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+bv+demo,age,True,True,False,0.8175212913690548,0.8348779609944906,0.6221680178700282,195.0,-0.1824787086309449,1.0,,854d3069,f8d84d1,
