rep,estimator,direction,seed,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
SC,linear_PLS,SC->FC,4,0.01427091658115387,-0.04866055026650429,0.8317715525627136,0.7438001314924392,0.05641025641025641,0.09147221595048904
SC,KR,FC->SC,4,0.005297883879393339,-0.0015913204988464713,0.9156292080879211,0.9146351084812623,0.15897435897435896,0.13458487391471863
SC,KR,SC->FC,4,0.01387391984462738,-0.019909225404262543,0.8367122411727905,0.7332544378698225,0.07692307692307693,0.08479122072458267
r2t,linear_PLS,FC->r2t,4,549201.6875,0.32251694798469543,0.8427839279174805,0.7123208415516107,0.02564102564102564,0.1096920520067215
r2t,linear_PLS,r2t->FC,4,0.015480071306228638,-0.13104568421840668,0.8160768151283264,0.6051545036160421,0.0,0.0509936660528183
r2t,KR,FC->r2t,4,528389.375,0.6120283007621765,0.8496748208999634,0.7477449046679816,0.020512820512820513,0.1116240993142128
r2t,KR,r2t->FC,4,0.014221747405827045,-0.04190865159034729,0.8317927718162537,0.6312426035502958,0.015384615384615385,0.05356725677847862
r2t_corr,linear_PLS,FC->r2t_corr,4,0.017353734001517296,-1040.4295654296875,0.8069875836372375,0.6927547666009204,0.02564102564102564,0.05356119945645332
r2t_corr,linear_PLS,r2t_corr->FC,4,0.014832873828709126,-0.08649733662605286,0.8247793316841125,0.6227218934911243,0.020512820512820513,0.0449017733335495
r2t_corr,KR,FC->r2t_corr,4,0.016714898869395256,-529.4710083007812,0.8145427703857422,0.7333070348454964,0.041025641025641026,0.05761095508933067
r2t_corr,KR,r2t_corr->FC,4,0.014131635427474976,-0.03589128702878952,0.8336632251739502,0.650940170940171,0.005128205128205128,0.04670729488134384
SC,linear_PLS,FC->SC,5,0.005553978029638529,-0.014347217977046967,0.9122107625007629,0.8937015121630506,0.14871794871794872,0.15015706419944763
SC,linear_PLS,SC->FC,5,0.014075995422899723,-0.06029745191335678,0.8324829936027527,0.7131886916502301,0.05641025641025641,0.08463431894779205
SC,KR,FC->SC,5,0.00545247970148921,0.0032573335338383913,0.9142248034477234,0.9258119658119658,0.1794871794871795,0.14171202480793
SC,KR,SC->FC,5,0.013547261245548725,-0.021096279844641685,0.8390888571739197,0.7373570019723865,0.05641025641025641,0.07918351888656616
r2t,linear_PLS,FC->r2t,5,526510.1875,0.2943204939365387,0.8455280065536499,0.7115318869165023,0.020512820512820513,0.11021846532821655
