rep,target,seed,pearson,spearman,r2
sink_residual,CogTotalComp_Unadj,8,0.30100242954585504,0.1934254374606466,0.0243114490748082
bv+demo,CogFluidComp_Unadj,8,0.26353103868876554,0.28875802648730453,0.06713798305230445
FC,CogFluidComp_Unadj,8,0.2966691426009862,0.2312229333351685,0.08545353991402649
sink_linear,CogFluidComp_Unadj,8,0.22705797150559318,0.16360654639993266,0.0406332737751236
sink_residual,CogFluidComp_Unadj,8,0.20599171569580704,0.1399741694413493,-0.03082379234095378
bv+demo,CogCrystalComp_Unadj,8,0.3088063446553771,0.28324943871436614,0.08543953404004556
FC,CogCrystalComp_Unadj,8,0.42476531450676414,0.3712127557061004,0.1794367233650147
sink_linear,CogCrystalComp_Unadj,8,0.42656185915045686,0.3731362426796831,0.1801936451211048
sink_residual,CogCrystalComp_Unadj,8,0.43845918306787407,0.37983000971606323,0.18625797448963755
bv+demo,CogTotalComp_Unadj,9,0.40825234595062676,0.3497156679258737,0.16234201378309998
FC,CogTotalComp_Unadj,9,0.49537284950602517,0.4453095848431183,0.207790653104033
sink_linear,CogTotalComp_Unadj,9,0.4364949810665907,0.40493904857053625,0.18255512694192244
sink_residual,CogTotalComp_Unadj,9,0.4233544203110885,0.3916259206403111,0.15127496511397875
bv+demo,CogFluidComp_Unadj,9,0.3442703221941775,0.3002178286404794,0.1156735597647418
FC,CogFluidComp_Unadj,9,0.3361421260286335,0.33113698421303916,0.09208690231513161
sink_linear,CogFluidComp_Unadj,9,0.32503312055045314,0.3212022132717221,0.09975409959660331
sink_residual,CogFluidComp_Unadj,9,0.3131924793784846,0.31004900447291933,0.07750316668248436
bv+demo,CogCrystalComp_Unadj,9,0.3337614125763945,0.3328764525240716,0.08102424866849567
FC,CogCrystalComp_Unadj,9,0.5425150422923234,0.4960554185823752,0.26539304018151755
sink_linear,CogCrystalComp_Unadj,9,0.4729636739952469,0.44870609760795843,0.21873989539943506
sink_residual,CogCrystalComp_Unadj,9,0.46299654342993174,0.43509928392122776,0.1826212910003493
