rep,target,variant,seed,pearson,spearman,r2
FC,CogTotalComp_Unadj,final,4,0.39014018226903013,0.3577435231618311,0.12991056922620858
bv+demo,CogFluidComp_Unadj,template,4,0.2487479062190776,0.2262365821047396,0.060336994601244864
bv+demo,CogFluidComp_Unadj,final,4,0.21354790868814502,0.2173429130313134,0.034907029916404486
SC,CogFluidComp_Unadj,template,4,0.09641179777898277,0.10066086815822572,0.009249018581602653
SC,CogFluidComp_Unadj,final,4,0.09037328366014467,0.097861360203374,-0.048337634401761864
r2t,CogFluidComp_Unadj,template,4,0.1270881898822752,0.1265263927475463,0.01613691123129346
r2t,CogFluidComp_Unadj,final,4,0.1329965172636491,0.12940598505791973,-0.029113134574623833
r2t_corr,CogFluidComp_Unadj,template,4,0.10669766301830341,0.09619164444685063,0.006751994299476705
r2t_corr,CogFluidComp_Unadj,final,4,0.11005707029635746,0.10062383990782317,-0.056660535711836824
SC_r2t,CogFluidComp_Unadj,template,4,0.1270885776555154,0.1265263927475463,0.016137021467766743
SC_r2t,CogFluidComp_Unadj,final,4,0.13299666767754503,0.12940598505791973,-0.02911246347288432
FC,CogFluidComp_Unadj,template,4,0.28470541083410367,0.29282629316002373,0.07751940449701311
FC,CogFluidComp_Unadj,final,4,0.28337888347057705,0.2911436605719645,0.057824028439111164
bv+demo,CogCrystalComp_Unadj,template,4,0.35490821572640846,0.36136262407550884,0.08915163036720519
bv+demo,CogCrystalComp_Unadj,final,4,0.35215913268214905,0.3510327417061544,0.06382727107276265
SC,CogCrystalComp_Unadj,template,4,0.18333226560237345,0.1698365791270793,0.02139755512093422
SC,CogCrystalComp_Unadj,final,4,0.1845510772761044,0.16997381781885987,-0.048146693498578585
r2t,CogCrystalComp_Unadj,template,4,0.1933334071737624,0.18776718401307338,0.01637070917769634
r2t,CogCrystalComp_Unadj,final,4,0.19622619416153447,0.18818218724270938,-0.10501162860569813
r2t_corr,CogCrystalComp_Unadj,template,4,0.1397156794197262,0.16862197561539224,0.00417968551055492
r2t_corr,CogCrystalComp_Unadj,final,4,0.14355594949486838,0.16695210123396598,-0.09803987875018172
SC_r2t,CogCrystalComp_Unadj,template,4,0.19333330477681787,0.18776718401307338,0.016370665844563925
SC_r2t,CogCrystalComp_Unadj,final,4,0.19622589099090362,0.18818218724270938,-0.10501199251062543
FC,CogCrystalComp_Unadj,template,4,0.39935522454869066,0.3377583908778184,0.1506424665493168
