rep,estimator,target,seed,pearson,spearman,r2
r2t_corr,linear_BR,CogTotalComp_Unadj,2,0.10290325043479902,0.1137876352154564,0.003872905941322391
r2t_corr,HGB,CogTotalComp_Unadj,2,0.02893399060486873,0.024021629038490352,-0.00038068105372746075
r2t_corr,KR,CogTotalComp_Unadj,2,0.023144142050528074,0.011161657104195854,-0.5705553075329808
FC,linear_BR,CogTotalComp_Unadj,2,0.5363573566888867,0.5163743836137369,0.25106041966266557
FC,HGB,CogTotalComp_Unadj,2,0.2382808654634509,0.25305599441433935,0.030873117029864394
FC,KR,CogTotalComp_Unadj,2,0.3767877488089717,0.3215103142190439,-1.197503341444138
SC_r2t,linear_BR,CogTotalComp_Unadj,2,0.17964518165678026,0.17774429769210123,-0.0321896845249694
SC_r2t,HGB,CogTotalComp_Unadj,2,0.18891939443779934,0.1863008447288281,0.031204175377736343
SC_r2t,KR,CogTotalComp_Unadj,2,0.01988533313334606,0.007594133737210132,-0.13874177506072316
bv+demo,linear_BR,CogFluidComp_Unadj,2,0.32289567151899523,0.2817907074384887,0.09149837879075284
bv+demo,HGB,CogFluidComp_Unadj,2,0.22289491789906413,0.23621643210715917,0.04146135401288642
bv+demo,KR,CogFluidComp_Unadj,2,0.2646422248831878,0.24929536673975458,-0.0015389886246979234
SC,linear_BR,CogFluidComp_Unadj,2,0.23472158867254805,0.18200278598318856,0.0384847510571541
SC,HGB,CogFluidComp_Unadj,2,0.0709423287126007,0.020288096309262597,0.0045720093124185235
SC,KR,CogFluidComp_Unadj,2,0.1979518083908862,0.19371092384012192,-1.2450619974445711
r2t,linear_BR,CogFluidComp_Unadj,2,0.16086118803159047,0.15146547860441203,-0.04505092501501973
r2t,HGB,CogFluidComp_Unadj,2,0.1262078826929964,0.10907002821461073,0.013673099117657905
r2t,KR,CogFluidComp_Unadj,2,-0.01692735876704069,-0.021889744195451293,-0.2342745996170037
r2t_corr,linear_BR,CogFluidComp_Unadj,2,0.08330675146109523,0.0834801580117144,-0.0021276861688288573
r2t_corr,HGB,CogFluidComp_Unadj,2,-0.06093189173102996,-0.059600169951914105,-0.019176696971077822
r2t_corr,KR,CogFluidComp_Unadj,2,0.03797810450449328,0.04088583897901295,-0.7291144461943937
FC,linear_BR,CogFluidComp_Unadj,2,0.3483417585112235,0.3096088023038714,0.10759398893732652
FC,HGB,CogFluidComp_Unadj,2,0.016352341490901548,0.057445348958264496,-0.0033824351748965586
FC,KR,CogFluidComp_Unadj,2,0.15794659670297978,0.09110780784593982,-1.7187637896957662
SC_r2t,linear_BR,CogFluidComp_Unadj,2,0.16086146276965352,0.15151722543554477,-0.04505075608352804
SC_r2t,HGB,CogFluidComp_Unadj,2,0.10719051286933941,0.09295363210351847,0.009816588129184622
SC_r2t,KR,CogFluidComp_Unadj,2,-0.016926814638570323,-0.021889744195451293,-0.23427389900240203
bv+demo,linear_BR,CogCrystalComp_Unadj,2,0.4411487630485998,0.3890533382363335,0.18174626649465975
bv+demo,HGB,CogCrystalComp_Unadj,2,0.3896888538780877,0.3559097649469591,0.15098159187936866
bv+demo,KR,CogCrystalComp_Unadj,2,0.27943996133417665,0.2839556423780853,-0.030617079490840693
SC,linear_BR,CogCrystalComp_Unadj,2,0.27773953964845577,0.2811525408400688,0.07658953232410881
SC,HGB,CogCrystalComp_Unadj,2,0.22333797716626583,0.19704816576726011,0.03592068679072258
SC,KR,CogCrystalComp_Unadj,2,0.272065962419052,0.28669481636947847,-1.8449842877246918
r2t,linear_BR,CogCrystalComp_Unadj,2,0.14611592545621682,0.1673995406946887,-0.07485914404797822
r2t,HGB,CogCrystalComp_Unadj,2,0.04171176137633015,0.030710307872189663,-0.0040884608225348895
r2t,KR,CogCrystalComp_Unadj,2,0.01686489596193736,0.00837289018875778,-0.25419653029476663
r2t_corr,linear_BR,CogCrystalComp_Unadj,2,0.1357711730250064,0.11859288187138375,0.01834981601775043
r2t_corr,HGB,CogCrystalComp_Unadj,2,-0.012535015368769315,0.02068096593738113,-0.011013894544011027
r2t_corr,KR,CogCrystalComp_Unadj,2,0.004416401408550433,-0.008306535013781638,-1.189764712894299
FC,linear_BR,CogCrystalComp_Unadj,2,0.5679156352121059,0.530518525238213,0.29984944424528337
FC,HGB,CogCrystalComp_Unadj,2,0.35569342528832426,0.34370604981574804,0.08485103348572742
FC,KR,CogCrystalComp_Unadj,2,0.3876033060583135,0.3412242044297502,-2.715041324878506
SC_r2t,linear_BR,CogCrystalComp_Unadj,2,0.14611519465983624,0.1673995406946887,-0.07485934700618158
SC_r2t,HGB,CogCrystalComp_Unadj,2,0.042800788649535904,0.03170320786847901,-0.0038300076195223465
SC_r2t,KR,CogCrystalComp_Unadj,2,0.01686530744786717,0.00837289018875778,-0.25419605696598047
bv+demo,linear_BR,CogTotalComp_Unadj,3,0.34531834694514624,0.3629137230722477,0.11229394744699772
bv+demo,HGB,CogTotalComp_Unadj,3,0.3150697799880308,0.2810321904851737,0.08604078112319313
bv+demo,KR,CogTotalComp_Unadj,3,0.32128690975849483,0.30182913888446966,0.05192660757036183
SC,linear_BR,CogTotalComp_Unadj,3,0.11143063602310221,0.11360429801663117,-0.03480669868197128
SC,HGB,CogTotalComp_Unadj,3,0.04102400371265082,0.04355832169405215,-0.0643324524576605
SC,KR,CogTotalComp_Unadj,3,0.09347556221282752,0.11006635270207908,-1.3355816646511025
r2t,linear_BR,CogTotalComp_Unadj,3,0.20372370290647315,0.2166497876013603,-0.04118684317121901
r2t,HGB,CogTotalComp_Unadj,3,0.09399303536064497,0.1204374202115255,-0.009579443526546827
r2t,KR,CogTotalComp_Unadj,3,0.05465603284902039,0.06375827387654291,-0.13146586055902731
r2t_corr,linear_BR,CogTotalComp_Unadj,3,0.08169925474378927,0.045540121345318874,-0.008060985915846253
r2t_corr,HGB,CogTotalComp_Unadj,3,0.06184029087064377,0.05295426932608886,-0.0040214331209997844
r2t_corr,KR,CogTotalComp_Unadj,3,0.05092529306137133,0.019614880256044926,-0.7648204357972059
FC,linear_BR,CogTotalComp_Unadj,3,0.4579379318150418,0.4134880525149656,0.2029384109536213
FC,HGB,CogTotalComp_Unadj,3,0.18292400242837464,0.16793991973337433,0.02356401612584147
FC,KR,CogTotalComp_Unadj,3,0.2746431635218103,0.2608425441368143,-1.7643742526013382
SC_r2t,linear_BR,CogTotalComp_Unadj,3,0.20372426811660177,0.2166497876013603,-0.041186494988084466
SC_r2t,HGB,CogTotalComp_Unadj,3,0.03490293801438863,0.07273746902985265,-0.02299117874295087
SC_r2t,KR,CogTotalComp_Unadj,3,0.05465479157073452,0.06375827387654291,-0.131466705319512
bv+demo,linear_BR,CogFluidComp_Unadj,3,0.2562250028108972,0.27723147237184953,0.06456616239427893
bv+demo,HGB,CogFluidComp_Unadj,3,0.22016778570852735,0.2193175992776603,0.04369205809359866
bv+demo,KR,CogFluidComp_Unadj,3,0.25253899829732646,0.2323244665712103,0.004369672098744726
SC,linear_BR,CogFluidComp_Unadj,3,0.090018977813509,0.07756260034221583,-0.003492428063496922
SC,HGB,CogFluidComp_Unadj,3,-0.003982098391774888,0.012886639649971696,-0.024777204299971434
SC,KR,CogFluidComp_Unadj,3,0.09921452942675037,0.07620232145671489,-1.6995182999284895
r2t,linear_BR,CogFluidComp_Unadj,3,0.13663784604366322,0.17036501760926162,-0.10859182852574478
r2t,HGB,CogFluidComp_Unadj,3,0.03191777001791432,0.035172231860974554,-0.011141077324809956
r2t,KR,CogFluidComp_Unadj,3,0.008395168546300208,0.027394123206938265,-0.22022271035872665
r2t_corr,linear_BR,CogFluidComp_Unadj,3,0.18221312690002126,0.15201784142189534,0.031074086531321377
r2t_corr,HGB,CogFluidComp_Unadj,3,0.07814670116977668,0.070987812916142,0.005443572139272268
r2t_corr,KR,CogFluidComp_Unadj,3,0.08667188157932741,0.08004525091967978,-0.9437305623235392
FC,linear_BR,CogFluidComp_Unadj,3,0.33885955811747553,0.29936412424414943,0.10823192835086226
FC,HGB,CogFluidComp_Unadj,3,0.1193912624289503,0.13561224374353664,0.01221063240076492
FC,KR,CogFluidComp_Unadj,3,0.14561363262657456,0.1301546558606435,-2.4244621683268965
SC_r2t,linear_BR,CogFluidComp_Unadj,3,0.13663838215951923,0.17036501760926162,-0.10859108414187313
SC_r2t,HGB,CogFluidComp_Unadj,3,0.03191777001791432,0.035172231860974554,-0.011141077324809956
SC_r2t,KR,CogFluidComp_Unadj,3,0.008392669117968966,0.027394123206938265,-0.22022380655754215
bv+demo,linear_BR,CogCrystalComp_Unadj,3,0.37476189099751295,0.35405779393764647,0.1309847475537398
bv+demo,HGB,CogCrystalComp_Unadj,3,0.39251817255983085,0.35397892081757043,0.15106891594598948
bv+demo,KR,CogCrystalComp_Unadj,3,0.29552597315846785,0.2829539477503487,-0.024414411298240513
SC,linear_BR,CogCrystalComp_Unadj,3,0.12940161767751157,0.11617453086310597,-0.022522545149078033
SC,HGB,CogCrystalComp_Unadj,3,0.05961300076851594,0.021381810531785943,-0.07593813110997982
SC,KR,CogCrystalComp_Unadj,3,0.1288101187897454,0.11730742776143321,-2.5048721401988456
r2t,linear_BR,CogCrystalComp_Unadj,3,0.11088223980394106,0.09211260995470591,-0.16099194745037027
r2t,HGB,CogCrystalComp_Unadj,3,0.08546583014728042,0.08096044048462027,0.003913230579183247
r2t,KR,CogCrystalComp_Unadj,3,-0.04462992132046186,-0.059977989433654115,-0.34339130192248213
r2t_corr,linear_BR,CogCrystalComp_Unadj,3,-0.025241892367920214,-0.07366500238958748,-0.0395016326363784
r2t_corr,HGB,CogCrystalComp_Unadj,3,0.11893026137867782,0.12309756335310544,0.005988669887298181
r2t_corr,KR,CogCrystalComp_Unadj,3,-0.00043748621645704424,-0.06568293452880193,-1.4497303431944277
FC,linear_BR,CogCrystalComp_Unadj,3,0.426853752819641,0.4020553986714901,0.18208264739288682
FC,HGB,CogCrystalComp_Unadj,3,0.1811491860606696,0.2136222759968629,0.029452971715658305
FC,KR,CogCrystalComp_Unadj,3,0.20178407094747297,0.16616198807765442,-3.363215777385877
SC_r2t,linear_BR,CogCrystalComp_Unadj,3,0.11088124926359182,0.09211260995470591,-0.16099241828103295
SC_r2t,HGB,CogCrystalComp_Unadj,3,0.08985784995445552,0.0697914740583212,0.004852516770229243
SC_r2t,KR,CogCrystalComp_Unadj,3,-0.044629638834764174,-0.059977989433654115,-0.34338977319118325
bv+demo,linear_BR,CogTotalComp_Unadj,4,0.29501744868108615,0.2763387169576236,0.07119809491334594
bv+demo,HGB,CogTotalComp_Unadj,4,0.2958469675149534,0.25971275402314375,0.06941021947728665
bv+demo,KR,CogTotalComp_Unadj,4,0.23223851347131783,0.2674622321073283,-0.010768862464746176
SC,linear_BR,CogTotalComp_Unadj,4,0.2322648848504011,0.20722906506972544,0.04665137850115331
SC,HGB,CogTotalComp_Unadj,4,0.08560487574528994,0.08898481731124817,0.0006542341902926463
SC,KR,CogTotalComp_Unadj,4,0.16144513793726814,0.14588590686293063,-1.6805368957955529
r2t,linear_BR,CogTotalComp_Unadj,4,0.16858753552316452,0.16409096761381287,-0.07101310268732552
r2t,HGB,CogTotalComp_Unadj,4,0.1230884756119858,0.12942376475164846,0.0096140375248015
r2t,KR,CogTotalComp_Unadj,4,0.04037307138750094,0.004875694336667865,-0.2057222845984723
r2t_corr,linear_BR,CogTotalComp_Unadj,4,0.24044535529747207,0.25626845770211,0.051964737101695135
r2t_corr,HGB,CogTotalComp_Unadj,4,0.14475007147221788,0.15538240229648292,0.012463138547320951
r2t_corr,KR,CogTotalComp_Unadj,4,0.17598806119444177,0.17889285916326253,-0.9576538043393847
FC,linear_BR,CogTotalComp_Unadj,4,0.39311653447797457,0.3689958541221348,0.1484425689850304
FC,HGB,CogTotalComp_Unadj,4,0.3092998414138225,0.28340425422932264,0.08450126708788874
FC,KR,CogTotalComp_Unadj,4,0.37739717808454454,0.34165338740050316,-1.863615110862972
SC_r2t,linear_BR,CogTotalComp_Unadj,4,0.16858699619748285,0.16409096761381287,-0.07101345096027178
SC_r2t,HGB,CogTotalComp_Unadj,4,0.1316785558605415,0.12984916090182752,0.012495714858507423
SC_r2t,KR,CogTotalComp_Unadj,4,0.04037216277773214,0.004875694336667865,-0.20572320537388933
bv+demo,linear_BR,CogFluidComp_Unadj,4,0.2960634202070202,0.2843442404515373,0.08431388447658761
bv+demo,HGB,CogFluidComp_Unadj,4,0.2722875981653669,0.28386459053727453,0.04923758025249325
bv+demo,KR,CogFluidComp_Unadj,4,0.169954429712033,0.17923826000080323,-0.03288204937571537
SC,linear_BR,CogFluidComp_Unadj,4,0.11418659065515702,0.11442418272063576,0.012060438812378727
SC,HGB,CogFluidComp_Unadj,4,-0.02379641290509042,-0.033426460043006846,-0.023567633418915657
SC,KR,CogFluidComp_Unadj,4,0.03699508881286264,0.005233039016190065,-1.9207901825330547
r2t,linear_BR,CogFluidComp_Unadj,4,0.10679242175227445,0.10106645666844877,-0.09491389946474538
r2t,HGB,CogFluidComp_Unadj,4,-0.06098128532036654,-0.03861702068142891,-0.029095332212918157
r2t,KR,CogFluidComp_Unadj,4,0.058696878220855626,0.012483687118266806,-0.22854887368424937
r2t_corr,linear_BR,CogFluidComp_Unadj,4,0.16708130315497446,0.15457055625589938,0.02687466733283228
r2t_corr,HGB,CogFluidComp_Unadj,4,0.0707072675726493,0.08814191298409697,0.0036401223842869035
r2t_corr,KR,CogFluidComp_Unadj,4,0.09187301744869462,0.07991729783388764,-1.0607374131275642
FC,linear_BR,CogFluidComp_Unadj,4,0.25519114411735055,0.25634152117436954,0.06296238775337604
FC,HGB,CogFluidComp_Unadj,4,0.1586628590879493,0.1826328033284026,0.023671657686801684
FC,KR,CogFluidComp_Unadj,4,0.27392982868482635,0.2691394074897357,-2.3251790580713108
SC_r2t,linear_BR,CogFluidComp_Unadj,4,0.10679107698339226,0.10106645666844877,-0.09491471722306777
SC_r2t,HGB,CogFluidComp_Unadj,4,-0.0608156887489401,-0.03848613012186648,-0.029061970587248576
SC_r2t,KR,CogFluidComp_Unadj,4,0.0586968043817317,0.012483687118266806,-0.2285494949719431
bv+demo,linear_BR,CogCrystalComp_Unadj,4,0.34700439586322945,0.35654776482315814,0.08705154233625978
bv+demo,HGB,CogCrystalComp_Unadj,4,0.3533638190981997,0.33217144122569575,0.1028999153091732
bv+demo,KR,CogCrystalComp_Unadj,4,0.26435426976430365,0.320034054923782,-0.05661412911227326
SC,linear_BR,CogCrystalComp_Unadj,4,0.26351040298740985,0.22955431118883368,0.05342803883955116
SC,HGB,CogCrystalComp_Unadj,4,0.22463832033543604,0.1839343621060989,0.021347206682150732
SC,KR,CogCrystalComp_Unadj,4,0.22643630786949942,0.23179368505172082,-3.6288609862594683
r2t,linear_BR,CogCrystalComp_Unadj,4,0.17434602224053244,0.1624922546453831,-0.18366207081907593
r2t,HGB,CogCrystalComp_Unadj,4,0.19482395377676548,0.1857151779449526,0.032603979391161775
r2t,KR,CogCrystalComp_Unadj,4,-0.03284699343401443,-0.03471070576903702,-0.569670125222224
r2t_corr,linear_BR,CogCrystalComp_Unadj,4,0.1904320605715403,0.2192786668653326,0.022941669790010666
r2t_corr,HGB,CogCrystalComp_Unadj,4,-0.0007371919387089421,0.0017849247817213983,-0.06195744039335427
r2t_corr,KR,CogCrystalComp_Unadj,4,0.13056466938372574,0.12889260702776748,-2.2239130202242925
FC,linear_BR,CogCrystalComp_Unadj,4,0.4236334562529722,0.3596993240026709,0.16739667607126785
