parcellation,seed,pc,explained_var_ratio,FC_to_PC_R2,AUC_MZ,AUC_DZ,AUC_sibling,confound_R2_test
Glasser,4,3,0.015150799416005611,0.1783437728881836,0.7178523489932886,0.7344199424736337,0.5781574130567418,-0.061701059341430664
Glasser,4,4,0.013385569676756859,0.15409332513809204,0.6947651006711408,0.5661553211888782,0.6212324588163514,0.00875711441040039
Glasser,4,5,0.012171712704002857,0.09870010614395142,0.5344966442953021,0.6735378715244487,0.4924344112263575,0.0681447982788086
Glasser,4,6,0.011020391248166561,0.009451329708099365,0.6153020134228188,0.5939597315436241,0.5295912141549726,0.05829501152038574
Glasser,4,7,0.009922826662659645,0.11441963911056519,0.6963758389261745,0.5810162991371046,0.5452715070164734,0.07595562934875488
Glasser,4,8,0.009441821835935116,0.07195788621902466,0.7256375838926175,0.5230105465004794,0.5838316046369738,-0.036698102951049805
Glasser,4,9,0.008909439668059349,-0.003144383430480957,0.5240268456375838,0.541706615532119,0.5215375228798048,-0.004874110221862793
Glasser,4,10,0.008612742647528648,0.04623699188232422,0.5734228187919463,0.5335570469798657,0.5251982916412447,0.09726393222808838
Glasser,5,1,0.03603165224194527,0.5913912057876587,0.8323170731707317,0.6471036585365854,0.4044565997130559,0.9050676226615906
Glasser,5,2,0.015943458303809166,0.0752374529838562,0.6314024390243902,0.4557926829268293,0.5876076040172167,-0.03905987739562988
Glasser,5,3,0.01476972084492445,0.25845402479171753,0.6435975609756097,0.5708841463414633,0.603075681492109,-0.008996367454528809
Glasser,5,4,0.01308770664036274,0.18716537952423096,0.6957317073170732,0.7614329268292683,0.6027170014347202,-0.045680999755859375
Glasser,5,5,0.01216550450772047,0.10630655288696289,0.611280487804878,0.4839939024390244,0.5624103299856528,-0.021183013916015625
Glasser,5,6,0.01099840085953474,0.11402839422225952,0.711280487804878,0.7080792682926829,0.4978927546628408,0.033665478229522705
Glasser,5,7,0.010189577005803585,0.05557435750961304,0.6411585365853658,0.6158536585365854,0.5485114777618364,0.21021294593811035
Glasser,5,8,0.009059731848537922,-0.009951949119567871,0.5841463414634147,0.6448170731707317,0.6101147776183644,0.007124781608581543
Glasser,5,9,0.008988769724965096,0.0028423070907592773,0.5896341463414634,0.6486280487804879,0.5693149210903874,-0.02713942527770996
Glasser,5,10,0.008843045681715012,0.08443605899810791,0.6085365853658536,0.6737804878048781,0.5521431133428981,0.010235071182250977
Glasser,6,1,0.038250189274549484,0.6408554315567017,0.8309659090909091,0.5822115384615385,0.47330000000000005,0.9076116681098938
