task,parcellation,seed,estimator,variant,input_set,source,target,is_block,n_train,n_test,n_src_feat,n_tgt_feat,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank,status,git_commit,config_hash,data_load_mode,hp_gamma_mult,hp_alpha
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",demo,demo,SC,False,683,195,10,103740,0.0044299280270934,-0.0040951259434223,0.9127743244171144,0.1258866935968399,0.0256410256410256,0.7261275476660092,ok,6b5eb84,a7494db3,precomputed,2.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",demo,demo,SC,False,683,195,10,103740,0.0043883845210075,0.0053853481076657,0.9136887788772584,0.1312892884016037,0.0205128205128205,0.7609467455621302,ok,6b5eb84,b54d69fc,precomputed,2.0,10.0
reconstruction,4S456Parcels,0,pca_pls,pca_pls,demo,demo,FC,False,683,195,10,103740,0.0119709959253668,-0.0071351146325469,0.8225772976875305,0.0875556245446205,0.0153846153846153,0.6495726495726496,ok,6b5eb84,cfefe207,precomputed,,
reconstruction,4S456Parcels,0,bayesian_ridge,bayesian_ridge,demo,demo,FC,False,683,195,10,103740,0.0119111286476254,-0.001942032831721,0.8235849142074585,0.0882238522171974,0.0051282051282051,0.6463905325443786,ok,6b5eb84,c3da4c2c,precomputed,,
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",demo,demo,FC,False,683,195,10,103740,0.0121072977781295,-0.0184140540659427,0.8203050494194031,0.0832150354981422,0.0102564102564102,0.6287968441814595,ok,6b5eb84,efd04a4d,precomputed,0.5,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",demo,demo,FC,False,683,195,10,103740,0.011970629915595,-0.0071296063251793,0.8225080966949463,0.0886524692177772,0.0102564102564102,0.6432873109796187,ok,6b5eb84,7d2ee27c,precomputed,0.5,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",demo,demo,FC,False,683,195,10,103740,0.0119045805186033,-0.0015530277742072,0.8236548900604248,0.0889702439308166,0.0205128205128205,0.6498882314266929,ok,6b5eb84,5d67a969,precomputed,0.5,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",demo,demo,FC,False,683,195,10,103740,0.0122075751423835,-0.0265326872467994,0.8186581134796143,0.079521894454956,0.0153846153846153,0.6248520710059171,ok,6b5eb84,c4f0b5f8,precomputed,1.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",demo,demo,FC,False,683,195,10,103740,0.012009534984827,-0.0103522483259439,0.8218531608581543,0.0860593616962432,0.0205128205128205,0.6422616699539776,ok,6b5eb84,5c100122,precomputed,1.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",demo,demo,FC,False,683,195,10,103740,0.0119135491549968,-0.0023739645257592,0.823456883430481,0.0888156220316886,0.0153846153846153,0.6425246548323471,ok,6b5eb84,8d361cdd,precomputed,1.0,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",demo,demo,FC,False,683,195,10,103740,0.0123193683102726,-0.0355022773146629,0.8168383240699768,0.0754612684249877,0.0205128205128205,0.6225378040762656,ok,6b5eb84,2c935127,precomputed,2.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",demo,demo,FC,False,683,195,10,103740,0.0120611917227506,-0.014597519300878,0.8210161924362183,0.0826098918914794,0.0153846153846153,0.6355292570677186,ok,6b5eb84,065662fe,precomputed,2.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",demo,demo,FC,False,683,195,10,103740,0.0119280666112899,-0.0035924720577895,0.8231779932975769,0.0873693600296974,0.0307692307692307,0.6447600262984878,ok,6b5eb84,8fe64d86,precomputed,2.0,10.0
reconstruction,4S456Parcels,0,pca_pls,pca_pls,bv+demo,bv+demo,SC,False,683,195,26,103740,0.0043135397136211,0.0131485555320978,0.9139416813850404,0.1940750926733017,0.1846153846153846,0.9034845496383958,ok,6b5eb84,a1ec002f,precomputed,,
reconstruction,4S456Parcels,0,bayesian_ridge,bayesian_ridge,bv+demo,bv+demo,SC,False,683,195,26,103740,0.0042551103979349,0.0276880022138357,0.9151946306228638,0.2031395733356475,0.1282051282051282,0.915292570677186,ok,6b5eb84,f6845e23,precomputed,,
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,bv+demo,SC,False,683,195,26,103740,0.0044479086063802,-0.0152861308306455,0.9112390875816344,0.172128215432167,0.1333333333333333,0.8553846153846154,ok,6b5eb84,65877d66,precomputed,0.5,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,bv+demo,SC,False,683,195,26,103740,0.0042916997335851,0.0200429074466228,0.9145304560661316,0.1928113251924514,0.2256410256410256,0.913846153846154,ok,6b5eb84,0e4eb1e2,precomputed,0.5,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,bv+demo,SC,False,683,195,26,103740,0.0043135359883308,0.0217842776328325,0.9148867726325988,0.1934202164411544,0.1948717948717948,0.92620644312952,ok,6b5eb84,5ce1c1b4,precomputed,0.5,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,bv+demo,SC,False,683,195,26,103740,0.0046518580056726,-0.0575903244316577,0.90707665681839,0.1480921804904937,0.0666666666666666,0.7867981591058515,ok,6b5eb84,fc33d1d0,precomputed,1.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,bv+demo,SC,False,683,195,26,103740,0.0043229651637375,0.0129801863804459,0.9138733744621276,0.1854146271944046,0.2,0.907534516765286,ok,6b5eb84,cce8558d,precomputed,1.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,bv+demo,SC,False,683,195,26,103740,0.0042927786707878,0.0252960156649351,0.915077269077301,0.1921155303716659,0.1846153846153846,0.9287836949375412,ok,6b5eb84,8f4205f6,precomputed,1.0,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,bv+demo,SC,False,683,195,26,103740,0.0049176407046616,-0.1110138967633247,0.9017521739006042,0.1239309683442115,0.041025641025641,0.7412228796844181,ok,6b5eb84,ad0959d9,precomputed,2.0,0.1
