task,parcellation,seed,estimator,variant,input_set,target,is_leak_target,contains_bvdemo,pearson,spearman,r2,n_eval,lift_over_bvdemo,lift_perm_p,residualized_pearson,git_commit,config_hash,hp_gamma_mult,hp_alpha,balanced_acc
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_SC+bv+demo,CogTotal,False,True,0.2344737198607956,0.2193087960076647,-1.2318841715035838,194.0,-0.0578482663551756,1.0,0.1192445328647407,6b5eb84,c6f586d0,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_SC+bv+demo,CogTotal,False,True,0.2259318577995304,0.2192019600250634,-0.0719739073374778,194.0,-0.0663901284164408,0.8810594702648675,0.0132757013299829,6b5eb84,0957c2b5,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",pred_FC+bv+demo,CogTotal,False,True,0.2769568251857989,0.2450710604890885,-0.0952002657973303,194.0,-0.0153651610301723,0.9160419790104948,0.0569377204585963,6b5eb84,57cc155f,1.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,CogTotal,False,True,0.2241703067812447,0.2563381475772702,-0.1400149995150255,194.0,0.0,1.0,0.1870598468931114,6b5eb84,cd40d35b,1.0,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",obs_FC,CogTotal,False,False,0.3576484855545259,0.3249778009528437,-1.565054959468816,194.0,0.1334781787732811,1.0,0.3390381205882527,6b5eb84,48627c01,1.0,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",obs_SC,CogTotal,False,False,0.3153508389539168,0.3078725383231271,-1.1780615489669977,194.0,0.091180532172672,1.0,0.0837107340619894,6b5eb84,306865c0,1.0,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",obs_FC+obs_SC,CogTotal,False,False,0.3920482332514989,0.3499527664240211,-1.6769381169350592,194.0,0.1678779264702541,1.0,0.3461973937878039,6b5eb84,2cbb5112,1.0,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_SC,CogTotal,False,False,0.2073717674624509,0.1920253514970487,-0.0940288670494395,194.0,-0.0167985393187938,0.3343328335832084,0.0840318406427741,6b5eb84,e71d8c53,1.0,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_FC,CogTotal,False,False,0.2561112593202865,0.2459988899072181,-0.2036301262335513,194.0,0.0319409525390417,0.7001499250374813,0.0325309995706968,6b5eb84,804423e7,1.0,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",obs_FC+bv+demo,CogTotal,False,True,0.379246169828259,0.3285658463377453,-1.474666231607709,194.0,0.1550758630470142,1.0,0.3348056416354104,6b5eb84,8689927e,1.0,1.0,
