rep,target,seed,pearson_raw,pearson_resid
r2t_corr,CogFluidComp_Unadj,6,-0.04173962987834287,-0.06697800342854521
FC,CogFluidComp_Unadj,6,0.17598858396971,0.09170088281614597
SC_r2t,CogFluidComp_Unadj,6,0.031703977783629544,0.07736810798758198
r2t->synthFC,CogFluidComp_Unadj,6,-0.008106853025377237,
bv+demo,CogCrystalComp_Unadj,6,0.3453840513891016,
SC,CogCrystalComp_Unadj,6,0.3291521629632177,0.04804017096934848
r2t,CogCrystalComp_Unadj,6,0.1333879334828173,0.0069720064988073056
r2t_corr,CogCrystalComp_Unadj,6,0.01572386678744731,-0.03501291912896
FC,CogCrystalComp_Unadj,6,0.5515404747795821,0.43723342505653134
SC_r2t,CogCrystalComp_Unadj,6,0.11843891036693949,0.004236632015987351
r2t->synthFC,CogCrystalComp_Unadj,6,0.1875233953153557,
bv+demo,CogTotalComp_Unadj,7,0.21315370342003356,
SC,CogTotalComp_Unadj,7,0.15382817153672082,-0.004428966644308127
r2t,CogTotalComp_Unadj,7,0.18721471826234273,0.09162172062358247
r2t_corr,CogTotalComp_Unadj,7,0.19986299432921514,0.057928384814490114
FC,CogTotalComp_Unadj,7,0.3445240995430525,0.21626140332942878
SC_r2t,CogTotalComp_Unadj,7,0.17085901516229257,0.07181081730907204
r2t->synthFC,CogTotalComp_Unadj,7,0.17566628641007215,
bv+demo,CogFluidComp_Unadj,7,0.18407196531317638,
SC,CogFluidComp_Unadj,7,0.10883067626090219,-0.03755933686467452
r2t,CogFluidComp_Unadj,7,0.11838520325858458,0.05027359488278643
r2t_corr,CogFluidComp_Unadj,7,0.2197421848047758,0.15177019646249357
FC,CogFluidComp_Unadj,7,0.27736689045709745,0.15254327195479178
SC_r2t,CogFluidComp_Unadj,7,0.12119027090054638,0.04600909462970969
r2t->synthFC,CogFluidComp_Unadj,7,0.1489416078210518,
bv+demo,CogCrystalComp_Unadj,7,0.28788776584257514,
SC,CogCrystalComp_Unadj,7,0.15272727644480236,-0.004518318759901097
r2t,CogCrystalComp_Unadj,7,0.1567875164762524,0.06522936369785585
r2t_corr,CogCrystalComp_Unadj,7,0.0996274055251287,-0.04842054277126844
FC,CogCrystalComp_Unadj,7,0.4330478112938744,0.3473368463401002
SC_r2t,CogCrystalComp_Unadj,7,0.14677717127338208,0.05183388238996093
r2t->synthFC,CogCrystalComp_Unadj,7,0.0974459757071578,
bv+demo,CogTotalComp_Unadj,8,0.2964213362519662,
SC,CogTotalComp_Unadj,8,0.2250434182082825,0.040270382184435585
r2t,CogTotalComp_Unadj,8,0.1886799652098168,0.02572507094800773
r2t_corr,CogTotalComp_Unadj,8,0.19949749062340374,0.05659366064923778
FC,CogTotalComp_Unadj,8,0.34032453713682054,0.22262296693225428
SC_r2t,CogTotalComp_Unadj,8,0.19777194069625892,0.04293280673842334
r2t->synthFC,CogTotalComp_Unadj,8,0.17724838035005566,
bv+demo,CogFluidComp_Unadj,8,0.27523650043919945,
SC,CogFluidComp_Unadj,8,0.12876817235520854,-0.027114992097836695
r2t,CogFluidComp_Unadj,8,0.1049676538254456,0.012122114000318488
r2t_corr,CogFluidComp_Unadj,8,0.14716403673068473,0.04727445033026137
FC,CogFluidComp_Unadj,8,0.27752279900634313,0.16057731334544414
SC_r2t,CogFluidComp_Unadj,8,0.11071937561656302,0.01862988960596914
r2t->synthFC,CogFluidComp_Unadj,8,0.18450977761092047,
bv+demo,CogCrystalComp_Unadj,8,0.2957115873123631,
SC,CogCrystalComp_Unadj,8,0.2233942509740522,0.12648957060675228
r2t,CogCrystalComp_Unadj,8,0.2212586861983538,0.09275166309562669
r2t_corr,CogCrystalComp_Unadj,8,0.1684372495755683,0.0970047729125664
FC,CogCrystalComp_Unadj,8,0.4204828142096594,0.39300949429434034
SC_r2t,CogCrystalComp_Unadj,8,0.21739106825221377,0.0977084905987459
r2t->synthFC,CogCrystalComp_Unadj,8,0.11546944760707435,
bv+demo,CogTotalComp_Unadj,9,0.4028144778846616,
SC,CogTotalComp_Unadj,9,0.35361305170847884,0.1890857923373269
r2t,CogTotalComp_Unadj,9,0.21904793529006877,0.032372282565525975
r2t_corr,CogTotalComp_Unadj,9,0.09945412527962202,-0.03741307250984025
FC,CogTotalComp_Unadj,9,0.5438506691535336,0.40321080406852366
SC_r2t,CogTotalComp_Unadj,9,0.21249324202715578,0.025935932895641157
r2t->synthFC,CogTotalComp_Unadj,9,0.18434567278996583,
bv+demo,CogFluidComp_Unadj,9,0.34369623025799745,
SC,CogFluidComp_Unadj,9,0.2731477479082663,0.11266980757255116
