seed,K,net_pair,n_obs,n_exp,enrichment
2,200,default mode || visual,5,13.871866295264624,0.3604417670682731
2,200,default mode || frontoparietal,4,11.559888579387186,0.34602409638554216
2,200,ventral attention || ventral attention,4,3.203342618384401,1.248695652173913
2,200,frontoparietal || frontoparietal,4,3.064066852367688,1.3054545454545454
2,200,dorsal attention || ventral attention,3,6.833797585886723,0.4389945652173913
2,200,frontoparietal || visual,3,7.520891364902507,0.3988888888888889
2,200,frontoparietal || somatosensory,3,7.7994428969359335,0.3846428571428571
2,200,dorsal attention || somatosensory,2,8.319405756731662,0.24040178571428572
2,200,frontoparietal || ventral attention,1,6.406685236768802,0.15608695652173912
2,500,visual || visual,87,11.07242339832869,7.857358490566038
2,500,dorsal attention || visual,66,20.055710306406684,3.2908333333333335
2,500,dorsal attention || dorsal attention,47,8.72794800371402,5.385
2,500,somatosensory || ventral attention,31,19.93190962550294,1.5552950310559006
2,500,somatosensory || somatosensory,29,11.915815536985452,2.43374025974026
2,500,dorsal attention || frontoparietal,28,16.71309192200557,1.6753333333333333
2,500,default mode || default mode,28,26.330857319715257,1.06339112547752
2,500,default mode || dorsal attention,27,30.826369545032495,0.8758734939759036
2,500,default mode || ventral attention,25,29.54193748065614,0.8462545835515978
2,500,default mode || frontoparietal,21,28.899721448467965,0.7266506024096386
2,500,frontoparietal || frontoparietal,17,7.66016713091922,2.2192727272727275
2,500,default mode || somatosensory,14,35.964097802537914,0.3892771084337349
2,500,dorsal attention || somatosensory,14,20.798514391829155,0.673125
2,500,default mode || visual,14,34.67966573816156,0.40369477911646584
2,500,dorsal attention || ventral attention,12,17.084493964716806,0.702391304347826
2,500,ventral attention || ventral attention,12,8.008356545961002,1.498434782608696
2,500,frontoparietal || ventral attention,11,16.016713091922004,0.6867826086956522
2,500,frontoparietal || somatosensory,7,19.498607242339833,0.359
2,500,frontoparietal || visual,5,18.802228412256266,0.26592592592592595
2,500,limbic || limbic,2,2.9247910863509747,0.6838095238095239
2,500,limbic || ventral attention,1,9.96595481275147,0.1003416149068323
2,500,frontoparietal || limbic,1,9.749303621169917,0.10257142857142856
2,500,default mode || limbic,1,17.982048901268957,0.055611015490533565
3,100,visual || visual,29,2.214484679665738,13.09559748427673
3,100,dorsal attention || dorsal attention,18,1.745589600742804,10.311702127659576
3,100,dorsal attention || visual,15,4.011142061281337,3.7395833333333335
3,100,default mode || dorsal attention,10,6.165273909006499,1.6219879518072289
3,100,dorsal attention || frontoparietal,8,3.3426183844011144,2.393333333333333
3,100,somatosensory || ventral attention,6,3.986381925100588,1.5051242236024844
3,100,default mode || frontoparietal,5,5.779944289693593,0.8650602409638555
3,100,dorsal attention || ventral attention,2,3.4168987929433614,0.5853260869565217
3,100,default mode || visual,2,6.935933147632312,0.2883534136546185
3,100,frontoparietal || somatosensory,1,3.8997214484679668,0.2564285714285714
3,100,frontoparietal || ventral attention,1,3.203342618384401,0.31217391304347825
3,100,ventral attention || ventral attention,1,1.6016713091922006,0.6243478260869565
3,100,default mode || ventral attention,1,5.908387496131229,0.16925091671031953
3,100,somatosensory || somatosensory,1,2.3831631073970905,0.41961038961038966
3,200,visual || visual,45,4.428969359331476,10.160377358490567
3,200,dorsal attention || dorsal attention,34,3.491179201485608,9.738829787234042
3,200,dorsal attention || visual,34,8.022284122562674,4.238194444444445
3,200,default mode || dorsal attention,17,12.330547818012999,1.3786897590361447
3,200,default mode || default mode,11,10.532342927886104,1.0444019982368498
3,200,dorsal attention || frontoparietal,10,6.685236768802229,1.4958333333333333
3,200,somatosensory || ventral attention,10,7.972763850201176,1.2542701863354038
3,200,default mode || frontoparietal,6,11.559888579387186,0.5190361445783133
3,200,dorsal attention || ventral attention,5,6.833797585886723,0.7316576086956521
3,200,somatosensory || somatosensory,5,4.766326214794181,1.0490259740259742
3,200,frontoparietal || frontoparietal,4,3.064066852367688,1.3054545454545454
3,200,frontoparietal || somatosensory,3,7.7994428969359335,0.3846428571428571
3,200,default mode || visual,3,13.871866295264624,0.21626506024096384
3,200,ventral attention || ventral attention,3,3.203342618384401,0.9365217391304348
3,200,dorsal attention || somatosensory,3,8.319405756731662,0.3606026785714286
3,200,default mode || somatosensory,3,14.385639121015165,0.20854130808950086
3,200,frontoparietal || ventral attention,2,6.406685236768802,0.31217391304347825
3,200,default mode || ventral attention,1,11.816774992262458,0.08462545835515976
3,200,limbic || ventral attention,1,3.986381925100588,0.2508540372670808
3,500,visual || visual,97,11.07242339832869,8.76050314465409
3,500,dorsal attention || visual,70,20.055710306406684,3.490277777777778
3,500,dorsal attention || dorsal attention,56,8.72794800371402,6.416170212765957
3,500,default mode || default mode,34,26.330857319715257,1.2912606523655599
3,500,default mode || dorsal attention,33,30.826369545032495,1.0705120481927712
3,500,somatosensory || ventral attention,31,19.93190962550294,1.5552950310559006
3,500,dorsal attention || frontoparietal,28,16.71309192200557,1.6753333333333333
3,500,default mode || frontoparietal,16,28.899721448467965,0.5536385542168675
3,500,dorsal attention || somatosensory,16,20.798514391829155,0.7692857142857142
3,500,default mode || somatosensory,16,35.964097802537914,0.4448881239242685
3,500,dorsal attention || ventral attention,15,17.084493964716806,0.8779891304347825
3,500,somatosensory || somatosensory,15,11.915815536985452,1.258831168831169
3,500,frontoparietal || frontoparietal,15,7.66016713091922,1.9581818181818182
3,500,default mode || ventral attention,13,29.54193748065614,0.44005238344683084
3,500,ventral attention || ventral attention,11,8.008356545961002,1.3735652173913044
3,500,frontoparietal || somatosensory,9,19.498607242339833,0.4615714285714286
3,500,default mode || visual,9,34.67966573816156,0.25951807228915663
3,500,frontoparietal || visual,6,18.802228412256266,0.3191111111111111
3,500,frontoparietal || ventral attention,5,16.016713091922004,0.3121739130434783
3,500,limbic || limbic,2,2.9247910863509747,0.6838095238095239
3,500,default mode || limbic,2,17.982048901268957,0.11122203098106713
3,500,limbic || ventral attention,1,9.96595481275147,0.1003416149068323
4,100,visual || visual,33,2.214484679665738,14.901886792452832
4,100,dorsal attention || visual,23,4.011142061281337,5.734027777777778
4,100,dorsal attention || dorsal attention,17,1.745589600742804,9.738829787234042
4,100,default mode || dorsal attention,13,6.165273909006499,2.1085843373493978
4,100,dorsal attention || frontoparietal,5,3.3426183844011144,1.4958333333333333
4,100,default mode || visual,3,6.935933147632312,0.4325301204819277
4,100,default mode || default mode,3,5.266171463943052,0.5696738172200999
4,100,default mode || frontoparietal,2,5.779944289693593,0.34602409638554216
4,100,somatosensory || ventral attention,1,3.986381925100588,0.2508540372670808
4,200,visual || visual,65,4.428969359331476,14.676100628930818
4,200,dorsal attention || visual,40,8.022284122562674,4.986111111111112
4,200,dorsal attention || dorsal attention,31,3.491179201485608,8.879521276595746
4,200,default mode || dorsal attention,21,12.330547818012999,1.7030873493975904
4,200,dorsal attention || frontoparietal,9,6.685236768802229,1.34625
4,200,default mode || default mode,8,10.532342927886104,0.7595650896267998
4,200,default mode || visual,5,13.871866295264624,0.3604417670682731
4,200,somatosensory || ventral attention,5,7.972763850201176,0.6271350931677019
4,200,default mode || frontoparietal,4,11.559888579387186,0.34602409638554216
4,200,default mode || somatosensory,3,14.385639121015165,0.20854130808950086
4,200,default mode || ventral attention,3,11.816774992262458,0.25387637506547933
4,200,dorsal attention || ventral attention,2,6.833797585886723,0.29266304347826083
4,200,frontoparietal || frontoparietal,1,3.064066852367688,0.32636363636363636
4,200,frontoparietal || visual,1,7.520891364902507,0.13296296296296295
4,200,frontoparietal || somatosensory,1,7.7994428969359335,0.1282142857142857
4,200,ventral attention || ventral attention,1,3.203342618384401,0.31217391304347825
4,500,visual || visual,127,11.07242339832869,11.46993710691824
4,500,dorsal attention || visual,76,20.055710306406684,3.7894444444444444
4,500,dorsal attention || dorsal attention,60,8.72794800371402,6.874468085106383
4,500,default mode || dorsal attention,37,30.826369545032495,1.2002710843373494
4,500,default mode || somatosensory,24,35.964097802537914,0.6673321858864028
4,500,dorsal attention || frontoparietal,23,16.71309192200557,1.3761666666666668
4,500,default mode || default mode,22,26.330857319715257,0.8355215985894799
4,500,somatosensory || ventral attention,19,19.93190962550294,0.9532453416149069
4,500,default mode || frontoparietal,18,28.899721448467965,0.6228433734939759
4,500,default mode || visual,17,34.67966573816156,0.4902008032128514
