subject,rel_between_session,rel_within_session_run1
159340,0.63984436,0.5443872
159441,0.29272434,0.33900362
159744,0.4984918,0.3543205
159946,0.44170654,0.305944
160123,0.43851355,0.20675705
160729,0.5214639,0.31588826
160830,0.38234195,0.16292262
161327,0.3916817,0.27478877
161630,0.43196383,0.35296088
161731,0.5914397,0.27368847
161832,0.27294946,0.49113095
162026,0.41939476,0.28651774
162228,0.5934783,0.42154977
162329,0.5904573,0.22875622
162733,0.5121523,0.19422069
162935,0.61716425,0.4534118
163129,0.40915704,0.43443105
163331,0.48960036,0.300016
163432,0.47683173,0.4108783
163836,0.45994785,0.32889992
164030,0.41893643,0.38708723
164131,0.51838404,0.25657296
164636,0.52779067,0.43226033
164939,0.45545763,0.38492823
165032,0.3700802,0.43373704
165436,0.48026282,0.30814573
165638,0.4828298,0.28952256
165840,0.62503463,0.3791208
165941,0.110711455,0.3828022
166438,0.44891682,0.4957382
166640,0.6348235,0.31212828
167036,0.5528254,0.4303998
167238,0.5762931,0.41895238
167440,0.5074718,0.3862547
167743,0.6195531,0.51904404
168139,0.49605298,0.27510566
168240,0.5894358,0.40184468
168341,0.7518024,0.55513763
168745,0.47981647,0.40680867
168947,0.54692477,0.3581163
169040,0.3867754,0.41577843
169343,0.6907084,0.48371547
169444,0.42983449,0.4061248
169545,0.39145878,0.35830557
169747,0.62650454,0.35546136
169949,0.4282089,0.29078248
170631,0.41848853,0.441151
171330,0.64008546,0.4844262
171431,0.2912347,0.19525011
171532,0.42126566,0.27463382
171633,0.42017898,0.36867243
172029,0.54399973,0.45725173
172130,0.65272343,0.5626987
172332,0.4731359,0.34881946
172433,0.5632504,0.5836453
172534,0.4389886,0.35235834
172938,0.54205185,0.36130488
173334,0.5280134,0.34629276
173435,0.6108848,0.52291495
173536,0.4873588,0.4518101
173637,0.3628762,0.2802521
173738,0.38214102,0.47015128
173839,0.44130114,0.3925928
173940,0.5122172,0.44468698
174437,0.28235155,0.18638764
174841,0.4314837,0.40975422
175035,0.6197205,0.33863726
175136,0.33908653,0.28311908
175237,0.37382358,0.18140973
175338,0.45561704,0.27226663
175439,0.46708375,0.38015166
175540,0.52420926,0.3464376
175742,0.5308884,0.36711606
176037,0.4354685,0.29235697
176239,0.42230254,0.23039229
176441,0.56823516,0.49751818
176542,0.3803128,0.38628733
176744,0.5813918,0.3649258
176845,0.32858798,0.26666886
177140,0.6673367,0.48426384
177241,0.4478451,0.1773689
177645,0.47632083,0.59822625
177746,0.51132196,0.36687648
