subject,rel_between_session,rel_within_session_run1
185139,0.52222115,0.4171778
185341,0.45574242,0.3608332
185442,0.4387342,0.26411265
185846,0.40067512,0.3643273
185947,0.34138376,0.3940848
186040,0.38046998,0.35027653
186141,0.46203595,0.30925107
186444,0.33999234,0.30919936
186545,0.48835546,0.26329854
186848,0.38842952,0.27957362
187143,0.44960216,0.3321587
187345,0.4216429,0.44478402
187547,0.5716892,0.44711658
187850,0.34744674,0.3269415
188145,0.33714616,0.27740896
188347,0.53171265,0.16302444
188448,0.5302403,0.4621109
188549,0.42497104,0.4588572
188751,0.36492082,0.08617642
189349,0.5624777,0.39051417
189450,0.31173253,0.24415933
189652,0.43343496,0.36163282
190031,0.49079636,0.3428981
191033,0.4937237,0.43786857
191235,0.45304513,0.25597015
191336,0.5647075,0.39724138
191437,0.48171943,0.27377096
191841,0.4151645,0.41320238
191942,0.41408616,0.43068168
192035,0.49065188,0.3715607
192136,0.5043664,0.2931909
192237,0.47413346,0.32142422
192439,0.63502735,0.47977963
192540,0.5910495,0.45520929
192641,0.5089864,0.3796809
192843,0.3748115,0.1766372
193239,0.29120228,0.16328035
193845,0.39412656,0.19779196
194140,0.48529562,0.34013066
194443,0.44608352,0.39953464
194645,0.33718663,0.35139838
194746,0.43781534,0.09533617
194847,0.45037982,0.43153635
195041,0.6678025,0.4885125
195445,0.69423944,0.5289024
195647,0.50319684,0.3838685
195849,0.31306288,0.23973505
195950,0.48562476,0.47702202
196144,0.5069878,0.2895633
196346,0.52022886,0.3702202
196750,0.42624146,0.15569991
196952,0.66025597,0.39915124
197348,0.3968475,0.28391585
197550,0.60093254,0.4000326
198047,0.3808568,0.309409
198249,0.3060001,0.117527515
198350,0.43821943,0.2226525
198451,0.37023264,0.25234532
198653,0.32801467,0.46030062
198855,0.36562008,0.27717373
199150,0.32994255,0.2886097
199251,0.42587954,0.27081272
199352,0.3942308,0.15044512
199453,0.35245222,0.44947225
199655,0.411802,0.32050508
199958,0.44898033,0.34986177
200008,0.48043218,0.31784093
200109,0.6471675,0.50094754
200311,0.5951836,0.39490044
200513,0.5981566,0.4643499
200614,0.5261166,0.24394158
200917,0.50109434,0.3184532
201111,0.4930316,0.1967545
201414,0.6063503,0.35426855
201515,0.27670607,0.20499928
201818,0.5873023,0.44437626
202113,0.3522524,0.1788044
202719,0.7255821,0.6040391
202820,0.41641048,0.22300854
203418,0.59101737,0.4122057
203923,0.32907665,0.19819948
204016,0.557026,0.40960205
204218,0.7076067,0.4689271
204319,0.3800592,0.4324095
204420,0.25673372,0.039007917
204521,0.6244688,0.34555715
204622,0.39701194,0.51376307
205119,0.33105326,0.2743151
205220,0.3761962,0.52673167
205725,0.3859653,0.28262514
205826,0.44786182,0.20671394
206222,0.6106137,0.4187281
206323,0.4328647,0.36887085
206525,0.6115273,0.4202141
206727,0.51778346,0.34220344
206828,0.55161196,0.32199922
206929,0.3845747,0.052463368
207123,0.2392536,0.14880784
207426,0.24367186,0.15093434
208024,0.5446318,0.385491
208125,0.5462089,0.41921607
208226,0.43075547,0.29952535
208327,0.5964057,0.41042286
208630,0.49202994,0.24164583
209127,0.5569697,0.33572102
209228,0.387059,0.25034225
209329,0.61047804,0.39652342
209834,0.45778397,0.26332554
209935,0.52958024,0.42533585
210011,0.46575096,0.47790492
210112,0.43268687,0.36942005
210415,0.40878198,0.22869022
210617,0.51387817,0.50076234
211114,0.61053693,0.32967517
211215,0.5158891,0.32018536
211316,0.39855343,0.18839352
211417,0.49302083,0.35299027
211619,0.46360737,0.27756387
211720,0.5078204,0.2183157
211821,0.50716484,0.33966747
211922,0.4354294,0.30819356
212015,0.3990047,0.31778693
